Prompt,ID
A close-up shot of a person walking to stores,a_p153_f3
A close-up shot of a person walking to stores,a_p153_f4
A close-up shot of a person visiting banks,a_p154_f1
A close-up shot of a person visiting banks,a_p154_f2
A close-up shot of a person visiting banks,a_p154_f3
A close-up shot of a person visiting banks,a_p154_f4
A close-up shot of a person using atms,a_p155_f1
A close-up shot of a person using atms,a_p155_f2
A close-up shot of a person using atms,a_p155_f3
A close-up shot of a person using atms,a_p155_f4
A close-up shot of a person consulting financial advisors,a_p156_f1
A close-up shot of a person consulting financial advisors,a_p156_f2
A close-up shot of a person consulting financial advisors,a_p156_f3
A close-up shot of a person consulting financial advisors,a_p156_f4
A close-up shot of a person grocery shopping,a_p157_f1
A close-up shot of a person grocery shopping,a_p157_f2
A close-up shot of a person grocery shopping,a_p157_f3
A close-up shot of a person grocery shopping,a_p157_f4
A close-up shot of a person visiting farmers’ markets,a_p158_f1
A close-up shot of a person visiting farmers’ markets,a_p158_f2
A close-up shot of a person visiting farmers’ markets,a_p158_f3
A close-up shot of a person visiting farmers’ markets,a_p158_f4
A close-up shot of a person eating out,a_p159_f1
A close-up shot of a person eating out,a_p159_f2
A close-up shot of a person eating out,a_p159_f3
A close-up shot of a person eating out,a_p159_f4
A close-up shot of a person gardening (outdoors),a_p160_f1
A close-up shot of a person gardening (outdoors),a_p160_f2
A close-up shot of a person gardening (outdoors),a_p160_f3
A close-up shot of a person gardening (outdoors),a_p160_f4
A close-up shot of a person home repairs,a_p161_f1
A close-up shot of a person home repairs,a_p161_f2
A close-up shot of a person home repairs,a_p161_f3
A close-up shot of a person home repairs,a_p161_f4
A close-up shot of a person taking out trash,a_p162_f1
A close-up shot of a person taking out trash,a_p162_f2
A close-up shot of a person taking out trash,a_p162_f3
A close-up shot of a person taking out trash,a_p162_f4
A close-up shot of a person visiting post offices,a_p163_f1
A close-up shot of a person visiting post offices,a_p163_f2
A close-up shot of a person visiting post offices,a_p163_f3
A close-up shot of a person visiting post offices,a_p163_f4
A close-up shot of a person meeting in person,a_p164_f1
A close-up shot of a person meeting in person,a_p164_f2
A close-up shot of a person meeting in person,a_p164_f3
A close-up shot of a person meeting in person,a_p164_f4
A close-up shot of a person attending social events,a_p165_f1
A close-up shot of a person attending social events,a_p165_f2
A close-up shot of a person attending social events,a_p165_f3
A close-up shot of a person attending social events,a_p165_f4
A close-up shot of a person visiting pharmacies,a_p166_f1
A close-up shot of a person visiting pharmacies,a_p166_f2
A close-up shot of a person visiting pharmacies,a_p166_f3
A close-up shot of a person visiting pharmacies,a_p166_f4
A close-up shot of a person consulting doctors,a_p167_f1
A close-up shot of a person consulting doctors,a_p167_f2
A close-up shot of a person consulting doctors,a_p167_f3
A close-up shot of a person consulting doctors,a_p167_f4
A close-up shot of a person attending health clinics,a_p168_f1
A close-up shot of a person attending health clinics,a_p168_f2
A close-up shot of a person attending health clinics,a_p168_f3
A close-up shot of a person attending health clinics,a_p168_f4
A close-up shot of a person phone calls with friends,a_p169_f1
A close-up shot of a person phone calls with friends,a_p169_f2
A close-up shot of a person phone calls with friends,a_p169_f3
A close-up shot of a person phone calls with friends,a_p169_f4
A close-up shot of a person phone calls with neighbors,a_p170_f1
A close-up shot of a person phone calls with neighbors,a_p170_f2
A close-up shot of a person phone calls with neighbors,a_p170_f3
A close-up shot of a person phone calls with neighbors,a_p170_f4
A close-up shot of a person phone calls with relatives,a_p171_f1
A close-up shot of a person phone calls with relatives,a_p171_f2
A close-up shot of a person phone calls with relatives,a_p171_f3
A close-up shot of a person phone calls with relatives,a_p171_f4
A close-up shot of a person home visits,a_p172_f1
A close-up shot of a person home visits,a_p172_f2
A close-up shot of a person home visits,a_p172_f3
A close-up shot of a person home visits,a_p172_f4
A close-up shot of a person hosting game nights,a_p173_f1
A close-up shot of a person hosting game nights,a_p173_f2
A close-up shot of a person hosting game nights,a_p173_f3
A close-up shot of a person hosting game nights,a_p173_f4
A close-up shot of a person movie nights,a_p174_f1
A close-up shot of a person movie nights,a_p174_f2
A close-up shot of a person movie nights,a_p174_f3
A close-up shot of a person movie nights,a_p174_f4
A close-up shot of a person club meetings,a_p175_f1
A close-up shot of a person club meetings,a_p175_f2
A close-up shot of a person club meetings,a_p175_f3
A close-up shot of a person club meetings,a_p175_f4
A close-up shot of a person online webinars,a_p176_f1
A close-up shot of a person online webinars,a_p176_f2
A close-up shot of a person online webinars,a_p176_f3
A close-up shot of a person online webinars,a_p176_f4
A close-up shot of a person study groups,a_p177_f1
A close-up shot of a person study groups,a_p177_f2
A close-up shot of a person study groups,a_p177_f3
A close-up shot of a person study groups,a_p177_f4
A close-up shot of a person home prayer groups,a_p178_f1
A close-up shot of a person home prayer groups,a_p178_f2
A close-up shot of a person home prayer groups,a_p178_f3
A close-up shot of a person home prayer groups,a_p178_f4
A close-up shot of a person online religious services,a_p179_f1
A close-up shot of a person online religious services,a_p179_f2
A close-up shot of a person online religious services,a_p179_f3
A close-up shot of a person online religious services,a_p179_f4
A close-up shot of a person reading religious texts at home,a_p180_f1
A close-up shot of a person reading religious texts at home,a_p180_f2
A close-up shot of a person reading religious texts at home,a_p180_f3
A close-up shot of a person reading religious texts at home,a_p180_f4
A close-up shot of a person indoor gardening,a_p181_f1
A close-up shot of a person indoor gardening,a_p181_f2
A close-up shot of a person indoor gardening,a_p181_f3
A close-up shot of a person indoor gardening,a_p181_f4
A close-up shot of a person indoor home repairs,a_p182_f1
A close-up shot of a person indoor home repairs,a_p182_f2
A close-up shot of a person indoor home repairs,a_p182_f3
A close-up shot of a person indoor home repairs,a_p182_f4
A close-up shot of a person houseplant care,a_p183_f1
A close-up shot of a person houseplant care,a_p183_f2
A close-up shot of a person houseplant care,a_p183_f3
A close-up shot of a person houseplant care,a_p183_f4
A close-up shot of a person home exercise routines,a_p184_f1
A close-up shot of a person home exercise routines,a_p184_f2
A close-up shot of a person home exercise routines,a_p184_f3
A close-up shot of a person home exercise routines,a_p184_f4
A close-up shot of a person yoga or pilates,a_p185_f1
A close-up shot of a person yoga or pilates,a_p185_f2
A close-up shot of a person yoga or pilates,a_p185_f3
A close-up shot of a person yoga or pilates,a_p185_f4
A close-up shot of a person using home exercise equipment,a_p186_f1
A close-up shot of a person using home exercise equipment,a_p186_f2
A close-up shot of a person using home exercise equipment,a_p186_f3
A close-up shot of a person using home exercise equipment,a_p186_f4
A close-up shot of a person walking indoors,a_p187_f1
A close-up shot of a person walking indoors,a_p187_f2
A close-up shot of a person walking indoors,a_p187_f3
A close-up shot of a person walking indoors,a_p187_f4
A close-up shot of a person walking on a treadmill,a_p188_f1
A close-up shot of a person walking on a treadmill,a_p188_f2
A close-up shot of a person walking on a treadmill,a_p188_f3
A close-up shot of a person walking on a treadmill,a_p188_f4
A close-up shot of a person walking in malls,a_p189_f1
A close-up shot of a person walking in malls,a_p189_f2
A close-up shot of a person walking in malls,a_p189_f3
A close-up shot of a person walking in malls,a_p189_f4
A close-up shot of a person meditation,a_p190_f1
A close-up shot of a person meditation,a_p190_f2
A close-up shot of a person meditation,a_p190_f3
A close-up shot of a person meditation,a_p190_f4
A close-up shot of a person reading self-help books,a_p191_f1
A close-up shot of a person reading self-help books,a_p191_f2
A close-up shot of a person reading self-help books,a_p191_f3
A close-up shot of a person reading self-help books,a_p191_f4
A close-up shot of a person journaling,a_p192_f1
A close-up shot of a person journaling,a_p192_f2
A close-up shot of a person journaling,a_p192_f3
A close-up shot of a person journaling,a_p192_f4
A close-up shot of a person physical therapy exercises,a_p193_f1
A close-up shot of a person physical therapy exercises,a_p193_f2
A close-up shot of a person physical therapy exercises,a_p193_f3
A close-up shot of a person physical therapy exercises,a_p193_f4
A close-up shot of a person cognitive puzzles and games,a_p194_f1
A close-up shot of a person cognitive puzzles and games,a_p194_f2
A close-up shot of a person cognitive puzzles and games,a_p194_f3
A close-up shot of a person cognitive puzzles and games,a_p194_f4
A close-up shot of a person home rehabilitation workouts,a_p195_f1
A close-up shot of a person home rehabilitation workouts,a_p195_f2
A close-up shot of a person home rehabilitation workouts,a_p195_f3
A close-up shot of a person home rehabilitation workouts,a_p195_f4
A close-up shot of a person online learning courses,a_p196_f1
A close-up shot of a person online learning courses,a_p196_f2
A close-up shot of a person online learning courses,a_p196_f3
A close-up shot of a person online learning courses,a_p196_f4
A close-up shot of a person home business management,a_p197_f1
A close-up shot of a person home business management,a_p197_f2
A close-up shot of a person home business management,a_p197_f3
A close-up shot of a person home business management,a_p197_f4
A close-up shot of a person budget planning,a_p198_f1
A close-up shot of a person budget planning,a_p198_f2
A close-up shot of a person budget planning,a_p198_f3
A close-up shot of a person budget planning,a_p198_f4
A close-up shot of a person medication management,a_p199_f1
A close-up shot of a person medication management,a_p199_f2
A close-up shot of a person medication management,a_p199_f3
A close-up shot of a person medication management,a_p199_f4
A close-up shot of a person home monitoring,a_p200_f1
A close-up shot of a person home monitoring,a_p200_f2
A close-up shot of a person home monitoring,a_p200_f3
A close-up shot of a person home monitoring,a_p200_f4
A close-up shot of a person diet and nutrition planning,a_p201_f1
A close-up shot of a person diet and nutrition planning,a_p201_f2
A close-up shot of a person diet and nutrition planning,a_p201_f3
A close-up shot of a person diet and nutrition planning,a_p201_f4
A close-up shot of a person using a mobile phone in a park,a_p202_f1
A close-up shot of a person using a mobile phone in a park,a_p202_f2
A close-up shot of a person using a mobile phone in a park,a_p202_f3
A close-up shot of a person using a mobile phone in a park,a_p202_f4
A close-up shot of a person calling from a cafe,a_p203_f1
A close-up shot of a person calling from a cafe,a_p203_f2
A close-up shot of a person calling from a cafe,a_p203_f3
A close-up shot of a person calling from a cafe,a_p203_f4
A close-up shot of a person calling during outdoor events,a_p204_f1
A close-up shot of a person calling during outdoor events,a_p204_f2
A close-up shot of a person calling during outdoor events,a_p204_f3
A close-up shot of a person calling during outdoor events,a_p204_f4
A close-up shot of a person meeting at parks,a_p205_f1
A close-up shot of a person meeting at parks,a_p205_f2
A close-up shot of a person meeting at parks,a_p205_f3
A close-up shot of a person meeting at parks,a_p205_f4
A close-up shot of a person going out for coffee,a_p206_f1
A close-up shot of a person going out for coffee,a_p206_f2
A close-up shot of a person going out for coffee,a_p206_f3
A close-up shot of a person going out for coffee,a_p206_f4
A close-up shot of a person dining out,a_p207_f1
A close-up shot of a person dining out,a_p207_f2
A close-up shot of a person dining out,a_p207_f3
A close-up shot of a person dining out,a_p207_f4
A close-up shot of a person participating in community events,a_p208_f1
A close-up shot of a person participating in community events,a_p208_f2
A close-up shot of a person participating in community events,a_p208_f3
A close-up shot of a person participating in community events,a_p208_f4
A close-up shot of a person attending outdoor workshops,a_p209_f1
A close-up shot of a person attending outdoor workshops,a_p209_f2
A close-up shot of a person attending outdoor workshops,a_p209_f3
A close-up shot of a person attending outdoor workshops,a_p209_f4
A close-up shot of a person joining local sports leagues,a_p210_f1
A close-up shot of a person joining local sports leagues,a_p210_f2
A close-up shot of a person joining local sports leagues,a_p210_f3
A close-up shot of a person joining local sports leagues,a_p210_f4
A close-up shot of a person attending church services,a_p211_f1
A close-up shot of a person attending church services,a_p211_f2
A close-up shot of a person attending church services,a_p211_f3
A close-up shot of a person attending church services,a_p211_f4
A close-up shot of a person attending outdoor religious events,a_p212_f1
A close-up shot of a person attending outdoor religious events,a_p212_f2
A close-up shot of a person attending outdoor religious events,a_p212_f3
A close-up shot of a person attending outdoor religious events,a_p212_f4
A close-up shot of a person religious pilgrimages,a_p213_f1
A close-up shot of a person religious pilgrimages,a_p213_f2
A close-up shot of a person religious pilgrimages,a_p213_f3
A close-up shot of a person religious pilgrimages,a_p213_f4
A close-up shot of a person gardening in the yard,a_p214_f1
A close-up shot of a person gardening in the yard,a_p214_f2
A close-up shot of a person gardening in the yard,a_p214_f3
A close-up shot of a person gardening in the yard,a_p214_f4
A close-up shot of a person landscaping,a_p215_f1
A close-up shot of a person landscaping,a_p215_f2
A close-up shot of a person landscaping,a_p215_f3
A close-up shot of a person landscaping,a_p215_f4
A close-up shot of a person community garden participation,a_p216_f1
A close-up shot of a person community garden participation,a_p216_f2
A close-up shot of a person community garden participation,a_p216_f3
A close-up shot of a person community garden participation,a_p216_f4
A close-up shot of a person jogging or running,a_p217_f1
A close-up shot of a person jogging or running,a_p217_f2
A close-up shot of a person jogging or running,a_p217_f3
A close-up shot of a person jogging or running,a_p217_f4
A close-up shot of a person playing sports,a_p218_f1
A close-up shot of a person playing sports,a_p218_f2
A close-up shot of a person playing sports,a_p218_f3
A close-up shot of a person playing sports,a_p218_f4
A close-up shot of a person outdoor group fitness classes,a_p219_f1
A close-up shot of a person outdoor group fitness classes,a_p219_f2
A close-up shot of a person outdoor group fitness classes,a_p219_f3
A close-up shot of a person outdoor group fitness classes,a_p219_f4
A close-up shot of a person walking in the park,a_p220_f1
A close-up shot of a person walking in the park,a_p220_f2
A close-up shot of a person walking in the park,a_p220_f3
A close-up shot of a person walking in the park,a_p220_f4
A close-up shot of a person hiking,a_p221_f1
A close-up shot of a person hiking,a_p221_f2
A close-up shot of a person hiking,a_p221_f3
A close-up shot of a person hiking,a_p221_f4
A close-up shot of a person beach walks,a_p222_f1
A close-up shot of a person beach walks,a_p222_f2
A close-up shot of a person beach walks,a_p222_f3
A close-up shot of a person beach walks,a_p222_f4
A close-up shot of a person nature walks,a_p223_f1
A close-up shot of a person nature walks,a_p223_f2
A close-up shot of a person nature walks,a_p223_f3
A close-up shot of a person nature walks,a_p223_f4
A close-up shot of a person outdoor meditation sessions,a_p224_f1
A close-up shot of a person outdoor meditation sessions,a_p224_f2
A close-up shot of a person outdoor meditation sessions,a_p224_f3
A close-up shot of a person outdoor meditation sessions,a_p224_f4
A close-up shot of a person outdoor support groups,a_p225_f1
A close-up shot of a person outdoor support groups,a_p225_f2
A close-up shot of a person outdoor support groups,a_p225_f3
A close-up shot of a person outdoor support groups,a_p225_f4
A close-up shot of a person attending physical therapy sessions,a_p226_f1
A close-up shot of a person attending physical therapy sessions,a_p226_f2
A close-up shot of a person attending physical therapy sessions,a_p226_f3
A close-up shot of a person attending physical therapy sessions,a_p226_f4
A close-up shot of a person participating in outdoor rehab programs,a_p227_f1
A close-up shot of a person participating in outdoor rehab programs,a_p227_f2
A close-up shot of a person participating in outdoor rehab programs,a_p227_f3
A close-up shot of a person participating in outdoor rehab programs,a_p227_f4
A close-up shot of a person functional outdoor activities,a_p228_f1
A close-up shot of a person functional outdoor activities,a_p228_f2
A close-up shot of a person functional outdoor activities,a_p228_f3
A close-up shot of a person functional outdoor activities,a_p228_f4
A close-up shot of a person attending workshops or seminars,a_p229_f1
A close-up shot of a person attending workshops or seminars,a_p229_f2
A close-up shot of a person attending workshops or seminars,a_p229_f3
A close-up shot of a person attending workshops or seminars,a_p229_f4
A close-up shot of a person job fairs,a_p230_f1
A close-up shot of a person job fairs,a_p230_f2
A close-up shot of a person job fairs,a_p230_f3
A close-up shot of a person job fairs,a_p230_f4
A close-up shot of a person volunteering,a_p231_f1
A close-up shot of a person volunteering,a_p231_f2
A close-up shot of a person volunteering,a_p231_f3
A close-up shot of a person volunteering,a_p231_f4
A close-up shot of a person visiting health clinics (outdoors),a_p232_f1
A close-up shot of a person visiting health clinics (outdoors),a_p232_f2
A close-up shot of a person visiting health clinics (outdoors),a_p232_f3
A close-up shot of a person visiting health clinics (outdoors),a_p232_f4
A close-up shot of a person outdoor exercise for health,a_p233_f1
A close-up shot of a person outdoor exercise for health,a_p233_f2
A close-up shot of a person outdoor exercise for health,a_p233_f3
A close-up shot of a person outdoor exercise for health,a_p233_f4
A close-up shot of a person attending health workshops,a_p234_f1
A close-up shot of a person attending health workshops,a_p234_f2
A close-up shot of a person attending health workshops,a_p234_f3
A close-up shot of a person attending health workshops,a_p234_f4
